feature,perm_importance_mean,perm_importance_std
offense_pct_r3,0.028363301005991336,0.0051547605710581135
ngs_rush_rush_yards_over_expected_per_att_r3,0.027324667589382463,0.005040571006999348
draft_pick_overall,0.026450517423667826,0.004992096537757513
fantasy_points_ppr_r3,0.020177785335332862,0.006124063510687255
fantasy_points_ppr_season_pre,0.015510156625605561,0.0027152123305020956
ngs_rush_rush_yards_over_expected_per_att_std_dev_pre,0.012475134396581529,0.0030354633998034733
offense_pct_r5,0.010936719749955219,0.002694157251495494
offense_pct_season_pre,0.009931729163167136,0.0031307337363112166
team_moneyline,0.006265152771819464,0.0018835154773644413
def_pass_epa_allowed_pre,0.005578945087026662,0.0012690850667475826
ngs_rush_rush_yards_over_expected_per_att_r5,0.005073897116172218,0.0021101379127289564
def_rush_epa_allowed_pre,0.005048537147910751,0.0015182706483014125
rz_carry_share_r3,0.0040242157203624375,0.001475162036958603
team_pass_rate_pre,0.0038644067634690487,0.0008660301636574365
team_plays_pre,0.0019458729239762032,0.002338360303818823
depth_position,0.0018942389837428427,0.0008433833964339971
air_yards_share_r5,0.0018726435176740516,0.00042105328398962853
target_per_route_r5,0.00173042249953869,0.0011556186867059772
rushing_epa_season_pre,0.0011787151289204933,0.0006517009838920852
target_per_route_std_dev_pre,0.0010897703935575172,0.0004314407377953777
air_yards_share_r3,0.0010587421973875522,0.0009319752609400707
rz_target_share_season_pre,0.0008646059421015743,0.00043149890588538244
rushing_epa_std_dev_pre,0.0008425721327106543,0.0005447227265919434
air_yards_share_std_dev_pre,0.0008219123362884403,0.0009473749364185673
def_epa_allowed_to_position_pre,0.0007366275232654133,0.0010856761194189908
target_per_route_r3,0.0006100094042276923,0.0006364893706456637
team_implied_total,0.0005829851805475868,0.00041264082251209774
rushing_epa_r5,0.0005539258017619379,0.0009286366654671474
receiving_epa_season_pre,0.0005238849995552315,0.0004203644569730639
rushing_epa_r3,0.0005147692500912552,0.0006185125421429956
routes_run_proxy_std_dev_pre,0.0004928803846107351,0.0006832473254669065
routes_run_proxy_season_pre,0.0004417431038047814,0.0007178008472915302
team_off_epa_per_play_pre,0.00039660150965661336,0.0003380231136797544
target_share_std_dev_pre,0.00036689997088810153,0.0006153308591921392
ngs_rush_rush_yards_over_expected_per_att_season_pre,0.0003129554126921323,0.00026991217679605536
rz_target_share_r3,0.0002784416048152716,0.0011266355224647583
yards_per_route_run_season_pre,0.0002616037330250324,0.00023102530655681774
fantasy_points_ppr_r5,0.00017756353652177055,0.0002773028114042434
is_home,0.0001313140733642489,0.00015812658841488105
target_share_r5,0.00011067526803355913,8.427717646537537e-05
surface,6.098221681509012e-05,0.0004802205785271708
wopr_r5,5.940270280492636e-05,0.0026921971300782285
practice_status,4.3319135875467354e-05,0.0001284483287428927
passing_epa_season_pre,4.252814780435117e-05,0.00015119771325923813
rest_days,4.226361221428092e-05,4.343600646705407e-05
roof,3.906731931972996e-05,7.203222373146154e-05
passing_epa_r3,2.9731721038498785e-05,2.7380865157502576e-05
receiving_epa_std_dev_pre,2.4093746686119447e-05,0.0007723032458226135
passing_epa_r5,0.0,0.0
draft_round,0.0,0.0
div_game,0.0,0.0
yards_per_route_run_r5,-1.4435386042229343e-05,1.9228269899023818e-05
air_yards_share_season_pre,-2.8811198200151545e-05,0.0008474345847094118
yards_per_route_run_r3,-4.448974204231959e-05,2.687158908526561e-05
rz_carry_share_r5,-4.679222531789318e-05,0.00021881061129712135
target_share_season_pre,-5.247538330107234e-05,0.0004837335463451135
target_per_route_season_pre,-7.343969311347139e-05,0.00010400543167590127
receiving_epa_r5,-9.516291348776e-05,0.00033665083376111844
wopr_r3,-9.971497236200092e-05,0.0006027911980803903
yards_per_route_run_std_dev_pre,-0.00011376282393837182,0.00022966736819934847
receiving_epa_r3,-0.00015326508077222466,0.0005164472194750943
routes_run_proxy_r3,-0.00018792426672812704,0.00021025313243585762
wind,-0.0002024911650214456,0.0004951557778626351
routes_run_proxy_r5,-0.00023803863726140257,0.0003679056340899157
opp_rest_days,-0.00026134904498686197,0.0005605914127477251
wopr_std_dev_pre,-0.0002816764756435663,0.00026148852231238777
total_line,-0.0002962415975197012,0.00011286308974060352
target_share_r3,-0.0003053502171632916,0.0002189747484047905
spread_line,-0.00038593865209179213,0.0005318922899000233
offense_pct_std_dev_pre,-0.00047189800153683387,0.0010190743273057333
rz_carry_share_std_dev_pre,-0.0005648842832863376,0.0014683555739358322
temp,-0.0006350914542791574,0.0013234527909691675
rz_target_share_std_dev_pre,-0.0006632874560665784,0.0005078323604123529
wopr_season_pre,-0.0009688586683533673,0.0007467891400758749
fantasy_points_ppr_std_dev_pre,-0.0012935120536879212,0.0009487083475061253
rz_target_share_r5,-0.0019485241231995466,0.0005793118657869796
rz_carry_share_season_pre,-0.0021866928252697315,0.0027268765339442647
